cell_id	coords
144	[[1599, 4050], [1589, 4051], [1584, 4048], [1584, 4044], [1582, 4044], [1580, 4046], [1580, 4048], [1579, 4049], [1578, 4049], [1576, 4048], [1576, 4045], [1571, 4040], [1574, 4039], [1575, 4040], [1578, 4040], [1579, 4041], [1584, 4041], [1587, 4043], [1590, 4043], [1594, 4046], [1597, 4047], [1597, 4049], [1599, 4050]]
148	[[1697, 4125], [1697, 4125], [1694, 4123], [1688, 4122], [1684, 4120], [1677, 4120], [1674, 4117], [1674, 4108], [1677, 4107], [1678, 4109], [1677, 4113], [1679, 4114], [1688, 4118], [1690, 4120], [1693, 4121], [1697, 4125]]
153	[[3682, 4194], [3680, 4194], [3679, 4188], [3677, 4185], [3677, 4183], [3675, 4179], [3667, 4170], [3665, 4170], [3665, 4169], [3678, 4156], [3679, 4152], [3679, 4156], [3681, 4160], [3680, 4168], [3681, 4169], [3681, 4172], [3682, 4174], [3686, 4177], [3688, 4178], [3693, 4178], [3697, 4182], [3697, 4183], [3695, 4182], [3688, 4182], [3685, 4185], [3682, 4194]]
155	[[1415, 4153], [1415, 4153], [1413, 4151], [1407, 4148], [1397, 4148], [1400, 4147], [1401, 4146], [1406, 4146], [1407, 4147], [1411, 4148], [1415, 4153]]
157	[[2149, 4229], [2148, 4228], [2146, 4228], [2143, 4226], [2142, 4224], [2142, 4219], [2154, 4208], [2155, 4205], [2156, 4207], [2162, 4208], [2165, 4212], [2165, 4214], [2166, 4215], [2166, 4219], [2163, 4225], [2158, 4229], [2149, 4229]]
158	[[3676, 4222], [3671, 4219], [3668, 4219], [3671, 4215], [3677, 4212], [3677, 4219], [3676, 4220], [3676, 4222]]
159	[[2993, 4271], [2992, 4267], [2990, 4263], [2990, 4257], [2991, 4256], [2991, 4253], [2992, 4252], [2992, 4247], [2994, 4243], [2997, 4240], [3005, 4239], [3005, 4240], [3002, 4241], [2997, 4246], [2996, 4248], [2996, 4250], [2995, 4251], [2995, 4268], [2993, 4271]]
162	[[1354, 4426], [1352, 4426], [1350, 4424], [1344, 4421], [1342, 4421], [1341, 4420], [1339, 4420], [1335, 4418], [1332, 4418], [1331, 4417], [1329, 4417], [1323, 4415], [1327, 4413], [1330, 4409], [1329, 4408], [1330, 4407], [1329, 4406], [1329, 4404], [1327, 4401], [1327, 4399], [1324, 4393], [1325, 4387], [1326, 4385], [1338, 4373], [1341, 4368], [1346, 4368], [1347, 4369], [1352, 4369], [1353, 4370], [1356, 4370], [1360, 4376], [1360, 4377], [1365, 4382], [1365, 4387], [1366, 4388], [1366, 4390], [1365, 4391], [1365, 4397], [1364, 4398], [1364, 4401], [1360, 4409], [1360, 4411], [1358, 4414], [1358, 4416], [1356, 4419], [1356, 4423], [1354, 4426]]
163	[[1852, 4404], [1846, 4404], [1845, 4403], [1843, 4403], [1841, 4402], [1836, 4398], [1835, 4396], [1836, 4395], [1842, 4401], [1844, 4402], [1847, 4402], [1848, 4403], [1852, 4404]]
167	[[2856, 2534], [2851, 2534], [2856, 2534]]
168	[[3232, 2558], [3229, 2558], [3223, 2555], [3219, 2555], [3218, 2554], [3209, 2554], [3208, 2553], [3206, 2554], [3200, 2551], [3200, 2548], [3199, 2547], [3199, 2545], [3198, 2544], [3198, 2540], [3197, 2539], [3197, 2535], [3198, 2534], [3200, 2526], [3206, 2519], [3208, 2518], [3218, 2518], [3220, 2519], [3221, 2518], [3222, 2520], [3224, 2520], [3226, 2523], [3228, 2527], [3231, 2530], [3233, 2535], [3236, 2539], [3235, 2540], [3235, 2550], [3233, 2554], [3233, 2557], [3232, 2558]]
171	[[3293, 2570], [3293, 2571], [3293, 2571], [3292, 2571], [3293, 2570]]
172	[[3310, 2585], [3308, 2583], [3301, 2580], [3293, 2572], [3292, 2570], [3292, 2561], [3293, 2560], [3293, 2558], [3295, 2554], [3297, 2552], [3298, 2549], [3306, 2541], [3312, 2538], [3318, 2537], [3319, 2536], [3324, 2536], [3325, 2537], [3330, 2538], [3332, 2539], [3338, 2546], [3342, 2553], [3342, 2555], [3343, 2556], [3343, 2567], [3341, 2570], [3341, 2572], [3336, 2574], [3333, 2577], [3332, 2577], [3328, 2581], [3327, 2584], [3325, 2584], [3324, 2583], [3314, 2583], [3310, 2585]]
175	[[3295, 2574], [3295, 2575], [3295, 2575], [3294, 2575], [3295, 2574]]
177	[[3418, 2636], [3417, 2636], [3418, 2635], [3418, 2633], [3420, 2632], [3420, 2633], [3418, 2636]]
178	[[2980, 2640], [2980, 2641], [2980, 2641], [2979, 2641], [2980, 2640]]
179	[[1476, 2663], [1470, 2659], [1470, 2657], [1468, 2653], [1468, 2650], [1467, 2649], [1467, 2638], [1468, 2637], [1468, 2634], [1469, 2633], [1469, 2631], [1471, 2628], [1471, 2626], [1472, 2625], [1472, 2623], [1474, 2619], [1486, 2608], [1488, 2608], [1497, 2618], [1498, 2621], [1505, 2628], [1505, 2629], [1507, 2631], [1507, 2636], [1506, 2637], [1505, 2643], [1504, 2644], [1503, 2644], [1487, 2660], [1486, 2660], [1483, 2663], [1476, 2663]]
185	[[3979, 2698], [3970, 2698], [3968, 2697], [3967, 2698], [3962, 2698], [3961, 2699], [3953, 2700], [3952, 2701], [3946, 2701], [3959, 2689], [3963, 2691], [3968, 2690], [3976, 2694], [3979, 2698]]
186	[[3197, 2705], [3197, 2706], [3197, 2706], [3196, 2706], [3197, 2705]]
187	[[3221, 2745], [3215, 2742], [3213, 2741], [3213, 2740], [3210, 2736], [3209, 2736], [3206, 2733], [3205, 2731], [3205, 2728], [3204, 2727], [3204, 2713], [3206, 2709], [3208, 2707], [3208, 2705], [3212, 2698], [3212, 2696], [3213, 2695], [3212, 2694], [3212, 2692], [3216, 2688], [3217, 2685], [3225, 2681], [3232, 2681], [3232, 2684], [3235, 2687], [3236, 2691], [3237, 2692], [3237, 2696], [3238, 2697], [3238, 2701], [3239, 2702], [3238, 2703], [3239, 2704], [3239, 2716], [3238, 2717], [3237, 2721], [3235, 2723], [3231, 2730], [3231, 2737], [3232, 2738], [3232, 2740], [3228, 2740], [3226, 2741], [3223, 2745], [3221, 2745]]
188	[[3088, 2703], [3082, 2702], [3081, 2701], [3075, 2702], [3071, 2700], [3071, 2698], [3075, 2694], [3078, 2694], [3082, 2692], [3083, 2693], [3085, 2694], [3086, 2698], [3089, 2701], [3088, 2703]]
189	[[3853, 2734], [3853, 2734], [3852, 2733], [3849, 2733], [3848, 2732], [3839, 2732], [3838, 2733], [3835, 2733], [3839, 2730], [3844, 2730], [3846, 2729], [3847, 2730], [3850, 2730], [3853, 2734]]
193	[[3594, 2847], [3592, 2846], [3585, 2839], [3582, 2839], [3582, 2831], [3581, 2830], [3581, 2824], [3580, 2823], [3579, 2814], [3581, 2812], [3583, 2806], [3590, 2799], [3593, 2798], [3595, 2796], [3599, 2794], [3605, 2794], [3610, 2799], [3613, 2805], [3611, 2808], [3610, 2812], [3608, 2814], [3608, 2818], [3601, 2824], [3602, 2828], [3606, 2828], [3607, 2830], [3607, 2833], [3606, 2834], [3606, 2840], [3601, 2846], [3597, 2846], [3596, 2847], [3594, 2847]]
194	[[2406, 2833], [2401, 2829], [2398, 2829], [2394, 2831], [2389, 2828], [2389, 2826], [2388, 2825], [2388, 2823], [2389, 2822], [2389, 2811], [2392, 2805], [2393, 2806], [2398, 2818], [2402, 2823], [2402, 2825], [2406, 2832], [2406, 2833]]
198	[[3935, 2884], [3934, 2884], [3932, 2883], [3932, 2882], [3924, 2872], [3922, 2871], [3921, 2872], [3913, 2869], [3916, 2863], [3920, 2864], [3924, 2868], [3926, 2868], [3927, 2867], [3926, 2864], [3925, 2862], [3919, 2860], [3919, 2854], [3923, 2850], [3926, 2850], [3927, 2851], [3928, 2850], [3931, 2850], [3934, 2855], [3934, 2861], [3936, 2865], [3936, 2873], [3935, 2874], [3935, 2884]]
201	[[3778, 2943], [3775, 2941], [3774, 2937], [3771, 2931], [3771, 2916], [3772, 2915], [3773, 2908], [3776, 2903], [3777, 2899], [3783, 2893], [3789, 2890], [3791, 2890], [3795, 2888], [3798, 2888], [3802, 2886], [3803, 2888], [3806, 2894], [3814, 2904], [3817, 2910], [3817, 2912], [3818, 2913], [3817, 2917], [3813, 2922], [3812, 2925], [3806, 2931], [3800, 2934], [3798, 2934], [3795, 2937], [3795, 2938], [3792, 2940], [3786, 2940], [3782, 2943], [3778, 2943]]
202	[[3293, 2920], [3290, 2917], [3288, 2917], [3287, 2916], [3285, 2916], [3284, 2917], [3279, 2917], [3281, 2916], [3284, 2913], [3288, 2906], [3289, 2903], [3289, 2908], [3286, 2912], [3286, 2913], [3292, 2918], [3293, 2920], [3293, 2920]]
203	[[3818, 2912], [3814, 2904], [3806, 2894], [3806, 2893], [3803, 2889], [3803, 2887], [3812, 2877], [3819, 2877], [3822, 2882], [3822, 2897], [3821, 2898], [3821, 2904], [3820, 2905], [3819, 2911], [3818, 2912]]
204	[[3583, 2943], [3581, 2941], [3579, 2941], [3575, 2939], [3571, 2933], [3571, 2929], [3570, 2928], [3570, 2922], [3571, 2921], [3571, 2917], [3572, 2916], [3572, 2914], [3574, 2910], [3581, 2903], [3581, 2902], [3583, 2901], [3583, 2900], [3585, 2899], [3591, 2893], [3595, 2893], [3597, 2894], [3597, 2896], [3600, 2899], [3601, 2901], [3601, 2904], [3602, 2905], [3602, 2916], [3601, 2917], [3601, 2923], [3599, 2927], [3599, 2933], [3597, 2936], [3597, 2938], [3591, 2943], [3588, 2943], [3587, 2942], [3583, 2943]]
210	[[3102, 2946], [3101, 2946], [3098, 2944], [3098, 2939], [3097, 2938], [3098, 2937], [3099, 2937], [3101, 2939], [3104, 2940], [3105, 2942], [3102, 2946]]
211	[[2988, 2949], [2987, 2947], [2990, 2943], [2994, 2942], [2995, 2941], [2996, 2943], [2996, 2945], [2993, 2950], [2991, 2949], [2988, 2949]]
214	[[3400, 3007], [3401, 3005], [3405, 3004], [3409, 3002], [3411, 3000], [3414, 2999], [3421, 2993], [3424, 2998], [3424, 2999], [3426, 3000], [3428, 3000], [3429, 3001], [3433, 3001], [3435, 3000], [3445, 2991], [3445, 2993], [3444, 2995], [3447, 2997], [3444, 3000], [3441, 3006], [3439, 3008], [3438, 3012], [3436, 3015], [3434, 3023], [3432, 3027], [3430, 3024], [3429, 3022], [3426, 3022], [3424, 3023], [3421, 3021], [3418, 3021], [3416, 3020], [3414, 3017], [3411, 3017], [3409, 3016], [3400, 3007]]
215	[[3637, 3007], [3636, 3007], [3638, 3003], [3642, 2999], [3646, 2997], [3646, 2999], [3645, 2999], [3642, 3002], [3641, 3002], [3637, 3007]]
218	[[3598, 3087], [3597, 3087], [3601, 3082], [3600, 3076], [3599, 3075], [3599, 3072], [3598, 3071], [3599, 3069], [3601, 3074], [3604, 3077], [3604, 3078], [3607, 3080], [3610, 3082], [3603, 3083], [3598, 3087]]
219	[[3631, 3082], [3629, 3084], [3625, 3085], [3622, 3083], [3619, 3083], [3618, 3082], [3611, 3082], [3607, 3080], [3601, 3074], [3601, 3073], [3598, 3069], [3598, 3057], [3599, 3055], [3602, 3054], [3603, 3055], [3605, 3055], [3608, 3059], [3611, 3067], [3618, 3073], [3622, 3075], [3624, 3075], [3628, 3078], [3631, 3079], [3631, 3082]]
221	[[1870, 3092], [1869, 3088], [1866, 3082], [1861, 3077], [1861, 3076], [1859, 3074], [1860, 3073], [1863, 3073], [1869, 3080], [1869, 3084], [1870, 3085], [1870, 3092]]
223	[[3454, 3088], [3454, 3089], [3454, 3089], [3453, 3089], [3454, 3088]]
224	[[3862, 3163], [3861, 3162], [3857, 3161], [3853, 3158], [3852, 3152], [3851, 3151], [3850, 3143], [3848, 3139], [3849, 3138], [3849, 3135], [3850, 3134], [3851, 3126], [3852, 3125], [3852, 3123], [3853, 3122], [3853, 3120], [3855, 3116], [3861, 3110], [3865, 3108], [3870, 3108], [3874, 3112], [3876, 3116], [3876, 3123], [3877, 3124], [3877, 3128], [3879, 3129], [3878, 3131], [3878, 3138], [3879, 3139], [3879, 3139], [3878, 3138], [3876, 3141], [3875, 3149], [3870, 3159], [3868, 3161], [3864, 3163], [3862, 3163]]
225	[[2643, 3131], [2642, 3130], [2637, 3126], [2638, 3124], [2641, 3122], [2643, 3123], [2643, 3131]]
